title,link,summary
Vì sao chứng khoán Mỹ liên tiếp lập kỷ lục dù chính phủ đóng cửa,https://vnexpress.net/vi-sao-chung-khoan-my-lien-tiep-lap-ky-luc-du-chinh-phu-dong-cua-4947185.html,Hai chỉ số Dow Jones và S&P 500 đã lập 3 đỉnh trong 3 ngày đầu tiên chính phủ Mỹ đóng cửa một phần.
"Bờ biển Sầm Sơn ngổn ngang đất cát, rác thải sau bão",https://vnexpress.net/bo-bien-sam-son-ngon-ngang-dat-cat-rac-thai-sau-bao-4947175.html,"Thanh HóaBão Bualoi đổ bộ đúng lúc triều cường khiến hàng nghìn m3 cát và các loại rác thải tràn lên đường phố Sầm Sơn, nhiều quầy bar, lều lán, vỉa hè hư hỏng nặng."
Quân đội Israel 'nhận lệnh giảm cường độ tác chiến' ở Dải Gaza,https://vnexpress.net/quan-doi-israel-nhan-lenh-giam-cuong-do-tac-chien-o-dai-gaza-4947208.html,"Quân đội Israel dường như đã được lệnh đình chỉ tấn công Gaza City, sẵn sàng thực thi thỏa thuận hòa bình do ông Trump đề xuất."
Harry Kewell làm HLV trưởng Hà Nội FC,https://vnexpress.net/harry-kewell-lam-hlv-truong-ha-noi-fc-4947219.html,Cựu tiền đạo Liverpool và tuyển Australia - Harry Kewell - vừa được bổ nhiệm làm HLV trưởng Hà Nội FC thi đấu ở V-League mùa này.
Ôtô chở 30 người cháy rụi trên cao tốc Nha Trang - Cam Lâm,https://vnexpress.net/oto-cho-30-nguoi-chay-rui-tren-cao-toc-nha-trang-cam-lam-4947168.html,"Khánh HòaXe khách chở 30 người đang chạy trên cao tốc Nha Trang - Cam Lâm bất ngờ bốc cháy, toàn bộ hành khách thoát nạn, sáng 4/10."
Hà Nội khởi công xây hầm chui tại nút giao Cổ Linh,https://vnexpress.net/ha-noi-khoi-cong-xay-ham-chui-tai-nut-giao-co-linh-4947172.html,"Hầm chui tại nút giao Cổ Linh, phường Long Biên, dài khoảng 600 m (hầm kín dài 100 m), rộng hơn 27 m với 6 làn xe, dự kiến hoàn thành năm 2027."
Công an kêu gọi cung cấp thông tin kẻ sát hại 3 người ở Đồng Nai,https://vnexpress.net/cong-an-keu-goi-cung-cap-thong-tin-ke-sat-hai-3-nguoi-o-dong-nai-4947049.html,"Camera an ninh cơ sở thu mua nông sản Thiên Hạnh ghi hình nghi can mặc đồ bịt kín, đeo vật giống súng tự chế, đi lại trong nhà, trước khi 3 nạn nhân tử vong với nhiều thương tích."
Tranh cãi nội bộ Mỹ khi ông Trump ra lệnh không kích tội phạm ma túy,https://vnexpress.net/tranh-cai-noi-bo-my-khi-ong-trump-ra-lenh-khong-kich-toi-pham-ma-tuy-4946711.html,"Việc quân đội Mỹ không kích ""tội phạm ma túy Venezuela"" làm dấy lên tranh cãi về thẩm quyền của Tổng thống Trump và cơ sở pháp lý để Washington hành động."
Nhiều người kêu cứu khi chung cư mini bốc khói mù mịt,https://vnexpress.net/nhieu-nguoi-keu-cuu-khi-chung-cu-mini-boc-khoi-mu-mit-4947133.html,"Hà NộiKhói phủ kín cầu thang bộ chung cư mini 9 tầng trên đường Yên Xá, buộc nhiều cư dân leo thang thoát hiểm, một số khác vẫy tay cầu cứu từ tầng thượng, ngày 4/10."
Gượng dậy sau bão,https://vnexpress.net/guong-day-sau-bao-4947103.html,"Trở về nhà sau nhiều ngày chạy bão, chị Lô Thị Hoan ở xã Tam Thái, Nghệ An, nhặt nhạnh những gì còn sót lại, nhờ anh em chống lại kèo cột, gắng gạt đi mất mát để dựng lại cuộc sống."
Doanh nghiệp bất động sản 'ngợp' với áp lực tiền sử dụng đất,https://vnexpress.net/doanh-nghiep-bat-dong-san-ngop-voi-ap-luc-tien-su-dung-dat-4945365.html,"Nhiều doanh nghiệp bất động sản đang đối mặt áp lực tài chính lớn khi tiền sử dụng đất tăng vọt, khiến dự án đình trệ, giá bán nhà bị đẩy cao, khó cạnh tranh."
Ông Trump: Hamas đã sẵn sàng cho hòa bình,https://vnexpress.net/ong-trump-hamas-da-san-sang-cho-hoa-binh-4947114.html,"Tổng thống Trump bày tỏ tin tưởng Hamas đã sẵn sàng cho hòa bình lâu dài, đồng thời yêu cầu Israel ngừng ném bom Dải Gaza."
Tình yêu hồi sinh cuộc đời cô gái bị tạt axit,https://vnexpress.net/tinh-yeu-hoi-sinh-cuoc-doi-co-gai-bi-tat-axit-4941692.html,"Đăk LăkBị tạt axit hủy hoại 75% gương mặt, Thu Hương tưởng đời mình đã hết cho đến khi chàng bạn học nắm tay cô trong viện, bắt đầu hành trình yêu và chữa lành."
Giám đốc Bệnh viện đa khoa vùng Tây Nguyên bị bắt,https://vnexpress.net/giam-doc-benh-vien-da-khoa-vung-tay-nguyen-bi-bat-4947111.html,"Đăk LăkÔng Nguyễn Đăng Giáp, Giám đốc Bệnh viện Đa khoa vùng Tây Nguyên, bị bắt với cáo buộc liên vụ kê khống 255 ca tán sỏi."
Hai cầu dây văng lớn nhất cao tốc Bến Lức sau 10 năm thi công,https://vnexpress.net/hai-cau-day-vang-lon-nhat-cao-toc-ben-luc-sau-10-nam-thi-cong-4946955.html,"TP HCMCùng khởi công 2015, cầu Bình Khánh đã xong nhưng cầu Phước khánh còn dang dở khiến cao tốc Bến Lức chưa thể thông xe toàn tuyến."
